Observation,Treated,Age,Education (years),Black,Hispanic,Married,Real income Before ($),Real income After ($)
1,0,17,8,1,0,0,2036.79,0
2,0,17,8,1,0,0,768.8102,3020.948
3,0,17,8,1,0,0,0,7010.444
4,0,17,8,1,0,0,0,8993.865
5,0,17,8,0,0,0,0,10210.99
6,0,17,8,1,0,0,1178.219,14380.17
7,0,17,9,1,0,0,0,0
8,0,17,9,0,1,0,671.2271,4209.579
9,0,17,9,1,0,0,2595.267,0
10,0,17,9,0,1,0,0,5114.814
11,0,17,9,1,0,0,620.9627,18085.73
12,0,17,9,1,0,0,1206.441,0
13,0,17,9,1,0,0,0,3590.702
14,0,17,10,1,0,0,1726.439,11061.62
15,0,17,10,1,0,0,664.569,0
16,0,17,10,1,0,0,0,2657.705
17,0,17,10,0,1,0,1734.559,6354.194
18,0,17,10,1,0,0,0,0
19,0,17,10,1,0,0,0,1143.387
20,0,17,10,0,0,0,2465.613,4211.662
21,0,17,10,0,1,0,1168.902,11306.27
22,0,17,10,1,0,0,0,275.5661
23,0,17,10,0,1,0,0,8469.275
24,0,17,10,0,1,0,1239.628,5088.986
25,0,17,10,1,0,0,0,2189.426
26,0,17,11,1,0,0,0,8551.533
27,0,17,11,0,0,0,0,0
28,0,17,11,1,0,0,3796.029,0
29,0,17,11,1,0,0,1156.797,6365.031
30,0,17,11,1,0,0,165.2077,4251.127
31,0,18,6,0,1,0,6142.681,3825.308
32,0,18,7,1,0,0,0,4132.577
33,0,18,7,0,1,1,2672.202,6330.888
34,0,18,8,0,1,0,2483.852,11135.53
35,0,18,8,1,0,0,0,1568.15
36,0,18,8,0,1,0,0,10798.56
37,0,18,8,0,0,0,1345.909,1725.592
38,0,18,9,1,0,0,2138.094,5767.704
39,0,18,9,1,0,0,0,0
40,0,18,9,1,0,0,1413.863,3475.52
41,0,18,9,1,0,0,490.4656,3480.847
42,0,18,9,1,0,0,0,10740.08
43,0,18,9,1,0,0,0,10877.35
44,0,18,9,0,1,0,1646.51,1065.672
45,0,18,9,1,0,0,0,2389.679
46,0,18,9,1,0,0,1605.448,0
47,0,18,9,1,0,0,2006.629,6546.01
48,0,18,9,1,0,0,0,0
49,0,18,9,0,0,0,559.596,7300.498
50,0,18,9,1,0,0,0,9227.052
51,0,18,9,1,0,0,0,12486.17
52,0,18,9,1,0,0,0,0
53,0,18,9,0,1,0,2684.91,2978.669
54,0,18,10,0,1,0,0,6527.919
55,0,18,10,1,0,0,2285.03,3268.938
56,0,18,10,1,0,0,2682.125,0
57,0,18,10,0,1,1,1922.625,4768.354
58,0,18,10,1,0,0,273.5525,5514.365
59,0,18,10,1,0,0,1642.365,0
60,0,18,10,1,0,0,2456.994,13674.75
61,0,18,10,1,0,0,0,781.2243
62,0,18,10,1,0,0,1428.144,11602.94
63,0,18,10,1,0,0,240.1067,2891.668
64,0,18,10,1,0,0,0,9602.439
65,0,18,10,1,0,0,0,202.2847
66,0,18,10,1,0,0,0,11048.08
67,0,18,10,0,1,0,0,1859.167
68,0,18,11,1,0,0,4152.609,4164.767
69,0,18,11,1,0,0,0,0
70,0,18,11,1,0,0,1170.327,604.2287
71,0,18,11,1,0,0,2292.171,4994.227
72,0,18,11,1,0,0,0,11303.14
73,0,18,11,1,0,0,645.2723,5497.591
74,0,18,11,1,0,0,0,4657.273
75,0,18,11,1,0,0,2041.363,796.559
76,0,18,11,1,0,0,8784.237,1824.377
77,0,18,12,1,0,0,1405.512,0
78,0,18,12,1,0,0,642.6645,14444.71
79,0,18,12,0,0,0,735.2051,2502.526
80,0,19,6,0,1,0,0,5071.801
81,0,19,8,0,1,0,1087.803,2987.101
82,0,19,9,1,0,0,0,5712.643
83,0,19,9,1,0,1,0,16658.25
84,0,19,9,1,0,0,2642.067,2652.625
85,0,19,9,0,1,0,2750.841,15581.44
86,0,19,9,0,1,0,0,3811.683
87,0,19,9,1,0,0,902.4565,1914.414
88,0,19,9,1,0,0,1537.929,4188.736
89,0,19,9,1,0,0,1778.089,7171
90,0,19,10,0,1,0,0,0
91,0,19,10,1,0,0,604.1539,0
92,0,19,10,1,0,0,0,4309.878
93,0,19,10,0,0,0,0,3194.01
94,0,19,10,1,0,0,0,5286.396
95,0,19,10,1,0,1,0,12797.67
96,0,19,10,0,1,0,2275.368,4335.159
97,0,19,10,1,0,0,1428.144,4687.937
98,0,19,10,1,0,0,963.9971,7047.08
99,0,19,10,0,1,0,1197.462,11223.72
100,0,19,11,1,0,0,1868.021,0
101,0,19,11,0,1,1,308.2192,0
102,0,19,11,0,0,0,0,0
103,0,19,11,1,0,0,2445.589,9772.283
104,0,19,11,1,0,0,1615.901,8823.059
105,0,19,11,1,0,0,0,0
106,0,19,11,1,0,0,0,0
107,0,19,11,1,0,0,4503.064,0
108,0,19,11,1,0,0,393.8598,2481.518
109,0,19,11,1,0,0,0,0
110,0,19,11,1,0,0,705.1964,0
111,0,19,11,1,0,0,5160.259,0
112,0,19,11,1,0,0,3285.68,11195.93
113,0,19,11,0,0,0,823.2544,2649.599
114,0,19,11,1,0,0,8870.879,7396.292
115,0,19,11,1,0,0,0,0
116,0,19,12,1,0,0,0,0
117,0,19,12,1,0,0,2814.195,1720.907
118,0,20,6,1,0,0,2850.61,0
119,0,20,7,0,1,0,0,4374.04
120,0,20,8,1,0,0,0,0
121,0,20,8,1,0,0,0,3644.655
122,0,20,8,0,1,0,1124.801,11731.2
123,0,20,9,1,0,0,9691.033,8562.603
124,0,20,9,1,0,0,9164.449,8924.395
125,0,20,9,1,0,0,2483.852,0
126,0,20,9,1,0,0,0,2035.914
127,0,20,9,1,0,0,0,5193.089
128,0,20,9,0,1,0,0,8329.823
129,0,20,10,1,0,0,0,8598.522
130,0,20,10,1,0,0,3677.588,557.7499
131,0,20,10,1,0,0,825.2301,0
132,0,20,10,1,0,0,0,2015.503
133,0,20,10,1,0,0,2749.977,6867.741
134,0,20,10,1,0,0,690.192,10864.88
135,0,20,10,1,0,0,2856.287,18347.26
136,0,20,11,0,0,0,1159.131,0
137,0,20,11,1,0,0,7666.875,7659.218
138,0,20,11,1,0,0,1633.202,1310.727
139,0,20,11,1,0,0,2531.311,0
140,0,20,11,1,0,0,7967.209,0
141,0,20,11,1,0,0,8012.085,18155.83
142,0,20,11,0,0,1,8159.507,6336.783
143,0,20,11,0,0,0,1177.118,8743.071
144,0,20,11,0,1,0,0,6378.72
145,0,20,11,1,0,0,1650.461,278.8751
146,0,20,11,1,0,0,3248.937,6027.639
147,0,20,11,1,0,0,3470.389,7896.707
148,0,20,12,0,0,0,3104.815,12573.97
149,0,20,12,1,0,0,591.8151,4159.919
150,0,20,12,1,0,0,4932.215,6086.966
151,0,20,12,1,0,0,6004.728,4779.72
152,0,20,12,1,0,0,1371.473,20893.11
153,0,20,12,1,0,0,0,0
154,0,20,13,1,0,0,8965.243,9199.563
155,0,21,7,1,0,0,0,11011.57
156,0,21,7,0,1,0,0,0
157,0,21,8,1,0,0,2237.208,1764.108
158,0,21,8,1,0,0,6608.304,3083.581
159,0,21,9,1,0,0,0,3343.224
160,0,21,9,1,0,0,12357.22,0
