,Year,Malaysia,Singapore,Thailand,Indonesia,India,China,Japan,Korea,Taiwan,HK,Brazil,Russia,South Africa,Egypt,Ethiopia,Iran,UAE
0,1980,1926.963,5004.992,705.484,673.239,267.167,307.533,9671.861,1744.756,2366.797,5703.963,1229.883,no data,3074.684,580.042,227.616,2439.396,41311.881
1,1981,1920.127,5672.105,744.913,736.992,270.951,289.007,10586.534,1918.418,2691.494,5995.182,1382.548,no data,3122.686,617.659,228.061,2485.685,42237.276
2,1982,2006.482,6000.032,767.41,741.946,274.332,280.5,9782.353,2032.027,2675.311,6139.013,1446.228,no data,2806.158,711.351,233.306,2965.579,36927.264
3,1983,2189.553,6717.837,824.445,659.474,292.585,297.077,10655.246,2245.56,2881.66,5590.161,1134.932,no data,3062.892,846.388,251.399,3560.281,32717.479
4,1984,2419.501,7160.262,845.08,672.201,277.683,301.687,11210.518,2468.702,3202.615,6170.503,1105.852,no data,2633.905,925.97,229.991,3531.17,29957.847
5,1985,2154.458,6788.387,772.393,658.217,299.291,293.534,11813.035,2542.884,3293.869,6490.372,1719.515,no data,1955.165,1049.33,260.757,3793.905,27912.523
6,1986,1864.031,6870.769,840.315,610.234,311.323,280.42,17457.069,2910.824,4008.134,7380.118,1955.069,no data,2176.064,1132.456,262.316,4225.457,21198.712
7,1987,2070.009,7794.688,967.712,562.902,341.864,300.37,21148.365,3657.733,5325.173,9015.195,2087.445,no data,2801.31,1585.217,271.537,5467.98,22345.786
8,1988,2213.866,9328.951,1160.538,621.934,353.207,368.709,25506.113,4888.718,6338.1,10527.458,2289.424,no data,2954.825,1858.029,272.448,6009.203,19032.876
9,1989,2380.512,10725.743,1338.257,696.874,347.464,407.249,25274.314,5989.211,7575.906,12012.634,3087.928,no data,3004.44,2266.442,277.391,7133.821,21142.453
10,1990,2586.278,12763.342,1564.175,770.757,368.75,347.545,25809.663,6812.886,8167.2,13374.312,3106.116,no data,3425.585,1870.847,284.636,10661.483,27484.598
11,1991,2885.568,14501.96,1769.043,847.573,303.85,359.122,29436.88,7872.91,9081.901,15297.577,2677.837,no data,3587.879,923.843,304.279,5445.574,25577.028
12,1992,3378.909,16136.244,1999.204,907.767,317.56,422.899,32007.708,8386.948,10715.536,17710.506,2523.736,482.052,3802.578,825.448,310.307,890.842,25833.806
13,1993,3716.921,18290.132,2209.362,1013.057,301.5,524.75,36362.508,9181.481,11256.711,20065.68,2787.164,1321.758,3716.193,897.202,186.665,1121.078,25033.005
14,1994,4029.272,21552.408,2491.433,1115.613,346.227,472.505,39953.203,10729.637,12099.746,22194.005,3495.239,1979.466,3786.21,968.914,160.749,1368.369,25737.492
15,1995,4671.084,24914.851,2846.59,1254.023,373.627,609.022,44210.234,13002.046,13066.128,23070.541,4851.99,2263.019,4145.21,1098.086,151.063,1941.99,26309.298
16,1996,5175.901,26232.869,3043.982,1394.497,399.583,709.843,39164.322,13864.865,13588.306,24698.956,5204.574,2785.402,3869.7,1209.49,163.498,2631.462,29821.12
17,1997,5012.378,26375.868,2468.182,1308.114,414.926,782.914,35651.27,12840.576,13948.722,27214.595,5321.137,2932.106,3937.658,1327.405,155.766,3018.96,29909.645
18,1998,3521.119,21829.278,1845.829,572.09,412.536,829.995,32436.929,8572.751,12767.078,25649.085,5123.549,1948.061,3508.14,1454.957,137.366,3314.906,26571.562
19,1999,3762.769,21796.642,2033.26,829.574,440.962,875.403,36622.892,11056.713,13752.716,24969.005,3501.438,1424.158,3423.595,1518.197,128.578,4400.622,27833.669
20,2000,4347.73,23852.834,2007.735,870.154,442.036,962.844,39172.971,12716.99,14844.238,25574.491,3751.971,1898.156,3382.066,1636.752,136.056,5776.857,32495.862
21,2001,4189.053,21699.748,1893.264,834.139,449.91,1058.845,34410.68,11983.382,13357.195,25166.902,3163.671,2250.194,2964.029,1566.199,131.565,5124.766,30877.714
22,2002,4441.824,22159.833,2096.189,1002.907,468.845,1157.325,32832.296,13637.337,13651.355,24731.081,2844.405,2546.771,2778.115,1355.278,123.874,2020.838,30969.024
23,2003,4740.324,23730.379,2359.116,1186.465,543.845,1300.767,35410.229,15211.145,14040.597,23856.482,3077.735,3190.618,4191.4,1252.404,132.704,2353.361,32166.941
24,2004,5244.873,27608.075,2660.126,1279.721,624.108,1522.4,38307.103,17107.739,15290.307,24873.898,3647.959,4395.821,5392.861,1195.597,152.16,2764.807,34944.807
