,Year,Malaysia,Singapore,Thailand,Indonesia,China,Japan,Korea,Taiwan,HK
0,1980,1926.963,5004.992,705.484,673.239,307.533,9671.861,1744.756,2366.797,5703.963
1,1981,1920.127,5672.105,744.913,736.992,289.007,10586.534,1918.418,2691.494,5995.182
2,1982,2006.482,6000.032,767.41,741.946,280.5,9782.353,2032.027,2675.311,6139.013
3,1983,2189.553,6717.837,824.445,659.474,297.077,10655.246,2245.56,2881.66,5590.161
4,1984,2419.501,7160.262,845.08,672.201,301.687,11210.518,2468.702,3202.615,6170.503
5,1985,2154.458,6788.387,772.393,658.217,293.534,11813.035,2542.884,3293.869,6490.372
6,1986,1864.031,6870.769,840.315,610.234,280.42,17457.069,2910.824,4008.134,7380.118
7,1987,2070.009,7794.688,967.712,562.902,300.37,21148.365,3657.733,5325.173,9015.195
8,1988,2213.866,9328.951,1160.538,621.934,368.709,25506.113,4888.718,6338.1,10527.458
9,1989,2380.512,10725.743,1338.257,696.874,407.249,25274.314,5989.211,7575.906,12012.634
10,1990,2586.278,12763.342,1564.175,770.757,347.545,25809.663,6812.886,8167.2,13374.312
11,1991,2885.568,14501.96,1769.043,847.573,359.122,29436.88,7872.91,9081.901,15297.577
12,1992,3378.909,16136.244,1999.204,907.767,422.899,32007.708,8386.948,10715.536,17710.506
13,1993,3716.921,18290.132,2209.362,1013.057,524.75,36362.508,9181.481,11256.711,20065.68
14,1994,4029.272,21552.408,2491.433,1115.613,472.505,39953.203,10729.637,12099.746,22194.005
15,1995,4671.084,24914.851,2846.59,1254.023,609.022,44210.234,13002.046,13066.128,23070.541
16,1996,5175.901,26232.869,3043.982,1394.497,709.843,39164.322,13864.865,13588.306,24698.956
17,1997,5012.378,26375.868,2468.182,1308.114,782.914,35651.27,12840.576,13948.722,27214.595
18,1998,3521.119,21829.278,1845.829,572.09,829.995,32436.929,8572.751,12767.078,25649.085
19,1999,3762.769,21796.642,2033.26,829.574,875.403,36622.892,11056.713,13752.716,24969.005
20,2000,4347.73,23852.834,2007.735,870.154,962.844,39172.971,12716.99,14844.238,25574.491
21,2001,4189.053,21699.748,1893.264,834.139,1058.845,34410.68,11983.382,13357.195,25166.902
22,2002,4441.824,22159.833,2096.189,1002.907,1157.325,32832.296,13637.337,13651.355,24731.081
23,2003,4740.324,23730.379,2359.116,1186.465,1300.767,35410.229,15211.145,14040.597,23856.482
24,2004,5244.873,27608.075,2660.126,1279.721,1522.4,38307.103,17107.739,15290.307,24873.898
25,2005,5678.332,29961.308,2894.06,1404.348,1778.515,37819.107,20162.881,16427.459,26551.769
26,2006,6351.127,33768.446,3369.545,1765.794,2128.055,36021.9,22596.681,16892.883,28028.157
27,2007,7480.893,39432.895,3973.019,2064.003,2733.851,35847.232,25075.287,17723.704,30494.551
28,2008,8766.175,40008.577,4379.659,2416.785,3503.948,39992.06,22291.166,18053.591,31487.94
29,2009,7543.882,38926.813,4213.01,2469.384,3878.741,41469.773,19933.009,16904.543,30593.991
30,2010,9046.978,47236.672,5076.339,3177.453,4578.228,45135.796,24069.073,19181.358,32421.361
31,2011,10397.902,53891.462,5492.115,3690.097,5651.562,48760.915,26177.945,20838.589,34955.147
32,2012,10806.823,55547.546,5860.583,3739.917,6388.178,49175.035,26600.549,21256.361,36623.745
33,2013,10851.657,56967.426,6168.268,3667.435,7155.028,40934.756,28449.357,21945.46,38233.352
34,2014,11165.249,57564.802,5951.877,3532.669,7774.592,38522.771,30667.091,22844.316,40185.303
35,2015,9663.122,55645.607,5840.05,3373.489,8174.332,35005.662,30171.791,22752.991,42325.352
36,2016,9523.316,57005.574,5993.308,3604.99,8222.25,39411.424,30825.524,23070.733,43488.204
37,2017,9965.123,61236.251,6593.816,3885.967,8930.226,38903.298,33296.984,25102.094,46025.665
38,2018,11079.617,66881.623,7298.941,3945.583,10040.46,39850.331,35363.952,25888.836,48310.038
39,2019,11228.293,65952.022,7812.886,4192.768,10334.456,40547.967,33826.944,25992.849,48277.982
40,2020,10400.219,61410.094,7169.943,3919.465,10695.519,40159.866,33653.204,28727.743,46446.056
41,2021,11474.232,80056.109,7236.434,4351.304,12877.533,40155.188,37518.466,33238.717,49848.567
42,2022,12483.323,90299.091,7072.748,4784.207,12968.171,34080.084,34822.405,32909.322,47999.297
43,2023,12090.6,85412.252,7350.89,4919.943,12960.729,33845.481,35563.046,32336.502,50620.543
44,2024,12540.71,90674.044,7491.686,4958.385,13312.7,32498.146,36128.987,33437.355,54034.499
45,2025,13144.983,92932.142,7766.698,5026.539,13687.267,33955.711,34641.743,34426.354,56030.943
46,2026,13878.99,95729.27,7911.66,5344.934,14534.224,35653.195,35880.215,36318.662,57648.753
47,2027,14561.83,99112.942,8152.057,5689.773,15519.13,37053.899,37367.365,38075.517,60321.051
48,2028,15288.654,102739.623,8434.403,6082.487,16558.924,38812.578,38849.919,39452.311,62907.564
49,2029,16008.549,106590.186,8750.87,6497.225,17575.897,40029.247,40340.632,40385.221,65510.943
50,2030,16817.186,110562.49,9097.932,6944.523,18617.42,41659.412,41891.751,41244.089,68278.495
